Solucao;CustoTotal;TempoTotal;NumAtracoes;NumBairros;HoraInicio;HoraFim;Bairros;Sequencia;TemposChegada;TemposPartida;ModosTransporte
11;162.14;634.00;7;5;09:00;19:34;Sao Cristovao|Gamboa|Saude|Santa Teresa|Centro|;Catedral Metropolitana de São Sebastião|Bondinho de Santa Teresa|AquaRio|Pedra do Sal|Real Gabinete Portugues Da Leitura|Parque das Ruinas|Quinta Da Boa Vista|;09:00|10:04|11:07|13:18|14:20|16:24|17:34|;10:00|11:04|13:07|14:18|16:20|17:24|19:34|;Walk|Car|Walk|Car|Car|Car|
12;121.58;575.00;6;5;09:00;18:35;Sao Cristovao|Centro|Santa Teresa|Saude|Gamboa|;AquaRio|Pedra do Sal|Catedral Metropolitana de São Sebastião|Bondinho de Santa Teresa|Real Gabinete Portugues Da Leitura|Quinta Da Boa Vista|;09:00|11:11|12:14|13:18|14:28|16:35|;11:00|12:11|13:14|14:18|16:28|18:35|;Walk|Car|Walk|Walk|Car|
13;131.65;563.00;6;5;09:00;18:23;Sao Cristovao|Gamboa|Centro|Santa Teresa|Saude|;Pedra do Sal|Real Gabinete Portugues Da Leitura|Catedral Metropolitana de São Sebastião|Bondinho de Santa Teresa|AquaRio|Quinta Da Boa Vista|;09:00|10:02|12:11|13:15|14:18|16:23|;10:00|12:02|13:11|14:15|16:18|18:23|;Car|Walk|Walk|Car|Car|
14;131.99;509.00;6;5;09:00;17:29;Sao Cristovao|Gamboa|Centro|Saude|Santa Teresa|;Parque das Ruinas|Catedral Metropolitana de São Sebastião|Bondinho de Santa Teresa|Pedra do Sal|AquaRio|Quinta Da Boa Vista|;09:00|10:05|11:09|12:13|13:24|15:29|;10:00|11:05|12:09|13:13|15:24|17:29|;Car|Walk|Car|Walk|Car|
15;157.25;503.00;6;5;09:00;17:23;Sao Cristovao|Gamboa|Centro|Santa Teresa|Saude|;Pedra do Sal|Parque das Ruinas|Catedral Metropolitana de São Sebastião|Bondinho de Santa Teresa|AquaRio|Quinta Da Boa Vista|;09:00|10:06|11:11|12:15|13:18|15:23|;10:00|11:06|12:11|13:15|15:18|17:23|;Car|Car|Walk|Car|Car|
16;167.98;502.00;6;5;09:00;17:22;Sao Cristovao|Gamboa|Centro|Santa Teresa|Saude|;Pedra do Sal|Catedral Metropolitana de São Sebastião|Parque das Ruinas|Bondinho de Santa Teresa|AquaRio|Quinta Da Boa Vista|;09:00|10:03|11:09|12:14|13:17|15:22|;10:00|11:03|12:09|13:14|15:17|17:22|;Car|Car|Car|Car|Car|
17;107.03;444.00;5;5;09:00;16:24;Jardim Botanico|Sao Cristovao|Saude|Santa Teresa|Centro|;Catedral Metropolitana de São Sebastião|Bondinho de Santa Teresa|Pedra do Sal|Quinta Da Boa Vista|Parque Lage|;09:00|10:04|11:08|12:14|14:24|;10:00|11:04|12:08|14:14|16:24|;Walk|Car|Car|Car|
18;135.92;435.00;5;5;09:00;16:15;Sao Cristovao|Gamboa|Centro|Santa Teresa|Saude|;Pedra do Sal|Catedral Metropolitana de São Sebastião|Bondinho de Santa Teresa|AquaRio|Quinta Da Boa Vista|;09:00|10:03|11:07|12:10|14:15|;10:00|11:03|12:07|14:10|16:15|;Car|Walk|Car|Car|
19;49.05;767.00;7;4;09:00;21:47;Sao Cristovao|Saude|Santa Teresa|Centro|;Catedral Metropolitana de São Sebastião|Bondinho de Santa Teresa|Real Gabinete Portugues Da Leitura|Centro Cultural Banco do Brasil|Igreja de Sao Francisco da Penitência|Pedra do Sal|Quinta Da Boa Vista|;09:00|10:04|11:14|13:26|16:37|18:41|19:47|;10:00|11:04|13:14|16:26|18:37|19:41|21:47|;Walk|Walk|Walk|Walk|Car|Car|
20;64.58;761.00;7;4;09:00;21:41;Saude|Santa Teresa|Centro|Sao Cristovao|;Quinta Da Boa Vista|Catedral Metropolitana de São Sebastião|Bondinho de Santa Teresa|Pedra do Sal|Real Gabinete Portugues Da Leitura|Centro Cultural Banco do Brasil|Igreja de Sao Francisco da Penitência|;09:00|11:08|12:12|13:16|14:18|16:30|19:41|;11:00|12:08|13:12|14:16|16:18|19:30|21:41|;Car|Walk|Car|Car|Walk|Walk|
21;71.01;632.00;7;4;09:00;19:32;Sao Cristovao|Centro|Santa Teresa|Saude|;Pedra do Sal|Catedral Metropolitana de São Sebastião|Bondinho de Santa Teresa|Igreja de Sao Francisco da Penitência|Real Gabinete Portugues Da Leitura|Parque das Ruinas|Quinta Da Boa Vista|;09:00|10:03|11:07|12:13|14:18|16:22|17:32|;10:00|11:03|12:07|14:13|16:18|17:22|19:32|;Car|Walk|Walk|Walk|Car|Car|
22;45.50;565.00;6;4;09:00;18:25;Sao Cristovao|Saude|Santa Teresa|Centro|;Catedral Metropolitana de São Sebastião|Bondinho de Santa Teresa|Igreja de Sao Francisco da Penitência|Real Gabinete Portugues Da Leitura|Pedra do Sal|Quinta Da Boa Vista|;09:00|10:04|11:10|13:15|15:19|16:25|;10:00|11:04|13:10|15:15|16:19|18:25|;Walk|Walk|Walk|Car|Car|
